Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4514297, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 65, 'record_count': '65/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3482971, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 66, 'record_count': '66/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3483116, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 67, 'record_count': '67/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1744455, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 68, 'record_count': '68/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1947430, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 69, 'record_count': '69/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3758523, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 70, 'record_count': '70/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3453154, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 71, 'record_count': '71/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3758898, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 72, 'record_count': '72/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3453251, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 73, 'record_count': '73/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 2023290, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 74, 'record_count': '74/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3691240, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 75, 'record_count': '75/238'}
